fold,it,train_loss,mse_optim,mse_test
5, 29, 0.120008, 0.109988, 0.001865
5, 30, 0.180259, 0.114543, 0.002308
5, 31, 0.149523, 0.159931, 0.002839
5, 32, 0.208495, 0.140267, 0.003704
5, 33, 0.311826, 0.214040, 0.004895
5, 34, 0.130396, 0.113806, 0.006509
5, 35, 0.234906, 0.246239, 0.008148
5, 36, 0.199966, 0.127450, 0.009740
5, 37, 0.124081, 0.092799, 0.011197
5, 38, 0.244941, 0.150837, 0.012966
5, 39, 0.167389, 0.135466, 0.014538
5, 40, 0.109197, 0.080801, 0.014839
5, 41, 0.170758, 0.094855, 0.014290
5, 42, 0.212466, 0.188025, 0.012482
5, 43, 0.201026, 0.159950, 0.011268
5, 44, 0.150866, 0.116926, 0.010877
5, 45, 0.148764, 0.164602, 0.011636
5, 46, 0.275976, 0.236783, 0.013612
5, 47, 0.137459, 0.130495, 0.015112
5, 48, 0.257443, 0.167934, 0.017713
5, 49, 0.127830, 0.167090, 0.022644
5, 50, 0.172899, 0.147204, 0.026855
5, 51, 0.117408, 0.144213, 0.031213
5, 52, 0.187023, 0.096633, 0.034459
5, 53, 0.129495, 0.131011, 0.036399
5, 54, 0.372004, 0.311715, 0.036891
5, 55, 0.235144, 0.175534, 0.037018
5, 56, 0.177918, 0.202511, 0.035636
5, 57, 0.215370, 0.136788, 0.034482
6, 0, 1.502900, 1.432971, 0.277882
6, 1, 0.412377, 0.478258, 0.249210
6, 2, 0.246339, 0.264628, 0.213805
6, 3, 0.665145, 0.635281, 0.174790
6, 4, 0.562985, 0.656185, 0.140110
6, 5, 0.738513, 0.759746, 0.108366
6, 6, 0.483741, 0.589582, 0.081927
6, 7, 0.528428, 0.647309, 0.059125
6, 8, 0.429202, 0.422668, 0.041288
6, 9, 0.293016, 0.325773, 0.028288
6, 10, 0.637992, 0.517221, 0.018369
6, 11, 0.355033, 0.312930, 0.011062
6, 12, 0.443645, 0.451652, 0.005971
6, 13, 0.432911, 0.412165, 0.002982
6, 14, 0.601727, 0.481586, 0.001573
6, 15, 0.541413, 0.496266, 0.001381
6, 16, 0.411868, 0.320169, 0.002093
6, 17, 0.167749, 0.192532, 0.003487
6, 18, 0.376479, 0.411252, 0.005401
6, 19, 0.450327, 0.387017, 0.007687
6, 20, 0.219333, 0.204354, 0.010212
6, 21, 0.196311, 0.229537, 0.012859
6, 22, 0.241244, 0.224220, 0.015598
6, 23, 0.216881, 0.163342, 0.018409
6, 24, 0.122126, 0.086509, 0.021127
6, 25, 0.186024, 0.166193, 0.023902
6, 26, 0.301387, 0.340749, 0.026736
6, 27, 0.202707, 0.214527, 0.029362
6, 28, 0.397532, 0.316359, 0.032291
6, 29, 0.310482, 0.287047, 0.035160
6, 30, 0.208784, 0.242037, 0.038278
6, 31, 0.232202, 0.194269, 0.041668
6, 32, 0.410843, 0.356313, 0.045614
6, 33, 0.409723, 0.381626, 0.049997
6, 34, 0.188076, 0.149615, 0.053919
6, 35, 0.119673, 0.112091, 0.057632
6, 36, 0.351350, 0.307979, 0.062074
6, 37, 0.362795, 0.271773, 0.067161
6, 38, 0.132939, 0.128897, 0.071821
6, 39, 0.153735, 0.128774, 0.076538
6, 40, 0.258329, 0.247772, 0.081041
6, 41, 0.262307, 0.196094, 0.085553
6, 42, 0.171831, 0.186715, 0.089972
6, 43, 0.305443, 0.189092, 0.094369
6, 44, 0.160659, 0.169336, 0.097315
6, 45, 0.159174, 0.172574, 0.098148
6, 46, 0.399993, 0.278769, 0.094991
7, 0, 1.364358, 1.015983, 0.541548
7, 1, 0.734540, 0.658458, 0.474748
7, 2, 0.817264, 0.744355, 0.408692
7, 3, 0.581043, 0.538004, 0.348433
7, 4, 0.857589, 0.853707, 0.293740
7, 5, 0.652446, 0.675281, 0.246211
7, 6, 0.596325, 0.553162, 0.209028
7, 7, 0.466669, 0.436044, 0.174926
7, 8, 0.442214, 0.420975, 0.147091
7, 9, 0.677218, 0.697616, 0.126168
7, 10, 0.443231, 0.463090, 0.107977
7, 11, 0.349416, 0.427499, 0.092593
7, 12, 0.468221, 0.405956, 0.080521
7, 13, 0.317822, 0.290970, 0.069869
7, 14, 0.209003, 0.163872, 0.061014
7, 15, 0.220966, 0.237826, 0.053727
7, 16, 0.170578, 0.219847, 0.046907
7, 17, 0.407713, 0.522571, 0.040700
7, 18, 0.400163, 0.341453, 0.035604
7, 19, 0.324507, 0.267317, 0.031177
7, 20, 0.244696, 0.201469, 0.027108
7, 21, 0.382583, 0.328922, 0.023816
7, 22, 0.183162, 0.150348, 0.020550
7, 23, 0.149666, 0.134410, 0.017679
7, 24, 0.352293, 0.234100, 0.014755
7, 25, 0.242120, 0.243251, 0.012269
7, 26, 0.267441, 0.255665, 0.010205
7, 27, 0.328116, 0.175746, 0.008309
7, 28, 0.305020, 0.251554, 0.006737
7, 29, 0.256206, 0.197588, 0.005197
7, 30, 0.264785, 0.209635, 0.003730
7, 31, 0.231435, 0.230407, 0.002646
7, 32, 0.314743, 0.242013, 0.002252
7, 33, 0.117542, 0.072953, 0.002660
7, 34, 0.363579, 0.266289, 0.003853
7, 35, 0.162040, 0.085987, 0.005903
7, 36, 0.237184, 0.214561, 0.008191
7, 37, 0.177100, 0.132409, 0.011092
7, 38, 0.269066, 0.232259, 0.013662
7, 39, 0.170196, 0.103585, 0.016539
7, 40, 0.270034, 0.219297, 0.019808
7, 41, 0.200249, 0.189284, 0.023158
7, 42, 0.244460, 0.190340, 0.026817
7, 43, 0.150734, 0.109089, 0.029458
7, 44, 0.338018, 0.296759, 0.033380
7, 45, 0.154883, 0.140357, 0.035566
7, 46, 0.162137, 0.140534, 0.036430
7, 47, 0.246784, 0.227437, 0.036645
7, 48, 0.156437, 0.105909, 0.038519
7, 49, 0.175275, 0.107665, 0.040545
7, 50, 0.136213, 0.074272, 0.046071
7, 51, 0.148270, 0.112092, 0.051738
7, 52, 0.172945, 0.154731, 0.058007
7, 53, 0.207207, 0.152340, 0.060107
7, 54, 0.226844, 0.154510, 0.059131
7, 55, 0.119887, 0.113213, 0.055189
7, 56, 0.136333, 0.097172, 0.051363
7, 57, 0.113125, 0.071492, 0.046675
7, 58, 0.256514, 0.194987, 0.040911
7, 59, 0.125527, 0.091683, 0.035861
7, 60, 0.142134, 0.139588, 0.030715
7, 61, 0.109417, 0.098205, 0.027691
7, 62, 0.172030, 0.093729, 0.025488
7, 63, 0.148216, 0.125753, 0.022800
8, 0, 1.125368, 0.974952, 0.386260
8, 1, 0.876821, 0.772816, 0.312446
8, 2, 0.947608, 0.914952, 0.249532
8, 3, 0.843017, 0.802494, 0.200757
8, 4, 0.506687, 0.571840, 0.158099
8, 5, 0.790133, 0.744561, 0.121449
8, 6, 0.300073, 0.312658, 0.092537
8, 7, 0.440000, 0.438084, 0.071452
8, 8, 0.690466, 0.652994, 0.055577
8, 9, 0.306045, 0.287535, 0.044176
8, 10, 0.393540, 0.298590, 0.035849
8, 11, 0.407070, 0.313922, 0.028920
8, 12, 0.453130, 0.340378, 0.022959
8, 13, 0.331133, 0.341840, 0.017255
8, 14, 0.224070, 0.224055, 0.012900
8, 15, 0.301575, 0.243089, 0.009164
8, 16, 0.173691, 0.153597, 0.005945
8, 17, 0.163574, 0.183913, 0.003799
8, 18, 0.222649, 0.179857, 0.002901
8, 19, 0.119339, 0.147338, 0.002913
8, 20, 0.207412, 0.225693, 0.003829
8, 21, 0.302580, 0.252880, 0.005616
8, 22, 0.296786, 0.211474, 0.008412
8, 23, 0.203147, 0.130405, 0.012412
8, 24, 0.390680, 0.290628, 0.017539
8, 25, 0.214374, 0.198804, 0.023656
8, 26, 0.265214, 0.182192, 0.030611
8, 27, 0.279723, 0.287509, 0.039116
8, 28, 0.157162, 0.162651, 0.048575
8, 29, 0.329661, 0.238035, 0.057884
8, 30, 0.169966, 0.155401, 0.066383
8, 31, 0.212572, 0.147956, 0.074177
8, 32, 0.230314, 0.148452, 0.079886
8, 33, 0.222067, 0.196945, 0.082898
8, 34, 0.225719, 0.156743, 0.085224
8, 35, 0.164170, 0.169901, 0.089142
8, 36, 0.081398, 0.083966, 0.090153
8, 37, 0.166048, 0.169117, 0.089717
8, 38, 0.205649, 0.168221, 0.087379
8, 39, 0.220428, 0.170581, 0.084183
8, 40, 0.198281, 0.177412, 0.081150
8, 41, 0.141654, 0.141012, 0.077058
8, 42, 0.151169, 0.113640, 0.076649
8, 43, 0.107683, 0.100560, 0.072490
8, 44, 0.170282, 0.122897, 0.067406
8, 45, 0.142820, 0.106023, 0.064055
8, 46, 0.119721, 0.097230, 0.063028
8, 47, 0.148798, 0.146492, 0.057995
8, 48, 0.289495, 0.154284, 0.054675
8, 49, 0.176879, 0.133928, 0.048174
9, 0, 0.637997, 0.643388, 0.010221
9, 1, 0.513592, 0.591678, 0.010286
9, 2, 0.984175, 1.044839, 0.010491
9, 3, 0.554955, 0.659336, 0.010136
9, 4, 0.711027, 0.795154, 0.009092
9, 5, 0.360292, 0.340716, 0.009269
9, 6, 0.420321, 0.391756, 0.008862
9, 7, 0.388829, 0.383206, 0.008529
9, 8, 0.444621, 0.444177, 0.007219
9, 9, 0.591977, 0.544967, 0.005067
9, 10, 0.779978, 0.750533, 0.003094
9, 11, 0.598962, 0.607073, 0.002252
9, 12, 0.573067, 0.579748, 0.002526
9, 13, 0.762253, 0.679649, 0.004510
9, 14, 0.579569, 0.515304, 0.008623
9, 15, 0.597361, 0.502531, 0.016772
9, 16, 0.792849, 0.637637, 0.028296
9, 17, 0.600371, 0.532928, 0.040364
9, 18, 0.547102, 0.538087, 0.053411
9, 19, 0.402402, 0.319609, 0.065958
9, 20, 0.458227, 0.382238, 0.079767
9, 21, 0.652255, 0.494884, 0.094311
9, 22, 0.499897, 0.372637, 0.108599
9, 23, 0.347859, 0.294228, 0.122697
9, 24, 0.250677, 0.215537, 0.134981
9, 25, 0.157241, 0.125670, 0.146291
9, 26, 0.494502, 0.454243, 0.153659
9, 27, 0.169069, 0.137326, 0.157899
9, 28, 0.163314, 0.153014, 0.157721
9, 29, 0.334612, 0.264220, 0.153139
9, 30, 0.467444, 0.414124, 0.146590
9, 31, 0.323818, 0.240385, 0.139165
9, 32, 0.333313, 0.279512, 0.131569
9, 33, 0.344121, 0.285921, 0.127719
9, 34, 0.196013, 0.166076, 0.130308
9, 35, 0.194958, 0.115599, 0.132928
9, 36, 0.501091, 0.411489, 0.131881
9, 37, 0.149716, 0.135016, 0.128049
9, 38, 0.273033, 0.251281, 0.124689
9, 39, 0.213922, 0.150344, 0.120842
9, 40, 0.404665, 0.306072, 0.112673
9, 41, 0.236844, 0.163091, 0.099824
9, 42, 0.209763, 0.205577, 0.078281
